1 - Cyprus			(Nicosia)
2 - Romania			(Bucarest)
3 - Moldava			(Chisinau)
4 - Ucrania			(Kiev)
5 - Rusia			(Moscu)
6 - Belarus			(Minsk)
7 - Poland			(Warsaw)
8 - Lithuania			(Vilnius)
9 - Latvia			(Riga)
10 - Finland			(Helsinki)
11 - Estonia			(Tallinn)
12 - Sweden			(stockholm)
13 - Norway			(Oslo)
14 - Svalbard and Jan Mayen	(Longyearbyen)
15 - Iceland			(Reykjavik)
16 - Faroe Island		(Tórshavn)
17 - Isle of Man		(Douglas)
18 - Ireland			(Dublin)
19 - Portugal			(Lisbon)
20 - Gibraltar			(Gibraltar)
21 - Spain			(Madrid)
22 - France			(Paris)
23 - United Kingdom		(London)
24 - Guernsey			(St Peter Port)
25 - Jersey			(Saint Helier)
26 - Andorra			(Andorral la Vella)
27 - Monaco			(Monaco)
28 - Liechtenstein		(Vaduz)
29 - Switzerland		(Berna)
30 - Luxembourg			(Luxermbourg)
31 - Belgium			(Brussels)
32 - Netherlands		(Amsterdam)
33 - Denmark			(Copenhagen)
34 - Germany			(Berlin)
35 - Czech Republic		(Prague)
36 - Austria			(Vienna)
37 - Slovakia			(Bratislava)
38 - Hungary			(Budapest)
39 - Serbia			(Belgrade)
40 - Montenegro			(Podgorica)
41 - Bulgaria			(Sofia)
42 - Kosovo			(Pristina)
43 - Macedonia			(Skopje)
44 - Bosnia and herzegovina	(Sarajevo)
45 - Croatia			(Zagreb)
46 - Slovenia			(Ljubljana)
47 - San Marino			(San Marino)
48 - Vatican			(Vatican)
49 - Italy			(Rome)
50 - Malta			(Valleta)
51 - Albania			(Tirana)
52 - Greece			(Athens)
