Country,Capital,Latitude,Longitude
Falkland Islands,Stanley,"-51,7","-57,85"
Uruguay,Montevideo,"-34,83","-56,17"
Argentina,Buenos Aires,"-34,61","-58,38"
Chile,Santiago,"-33,46","-70,65"
Paraguay,Asunción,"-25,3","-57,64"
Bolivia,Sucre,"-19,03","-65,26"
Brazil,Brasília,"-15,78","-47,93"
Peru,Lima,"-12,04","-77,03"
Ecuador,Quito,"-0,23","-78,52"
Colombia,Bogotá,"4,61","-74,08"
French Guiana,Cayenne,"4,93","-52,33"
Suriname,Paramaribo,"5,87","-55,17"
Guyana,Georgetown,"6,8","-58,16"
Venezuela,Caracas,"10,49","-66,88"
