Country,Capital,Latitude,Longitude
Lesotho,Maseru,"-29,32","27,48"
Swaziland,Mbabane,"-26,32","31,13"
Mozambique,Maputo,"-25,97","32,58"
South Africa,Pretoria,"-25,74","28,19"
Botswana,Gaborone,"-24,65","25,91"
Namibia,Windhoek,"-22,56","17,08"
Reunion,Saint-Denis,"-20,88","55,45"
Mauritius,Port Louis,"-20,16","57,5"
Madagascar,Antananarivo,"-18,91","47,54"
Zimbabwe,Harare,"-17,83","31,05"
Saint Helena,Jamestown,"-15,94","-5,72"
Zambia,Lusaka,"-15,41","28,29"
Malawi,Lilongwe,"-13,97","33,79"
Mayotte,Mamoutzou,"-12,78","45,23"
Comoros,Moroni,"-11,7","43,26"
Angola,Luanda,"-8,84","13,23"
Tanzania,Dodoma,"-6,17","35,74"
Seychelles,Victoria,"-4,62","55,45"
Democratic Republic of the Congo,Kinshasa,"-4,32","15,31"
Republic of the Congo,Brazzaville,"-4,27","15,28"
Burundi,Bujumbura,"-3,38","29,36"
Rwanda,Kigali,"-1,95","30,06"
Kenya,Nairobi,"-1,28","36,82"
Uganda,Kampala,"0,32","32,58"
Sao Tome and Principe,São Tomé,"0,34","6,73"
Gabon,Libreville,"0,39","9,45"
Somalia,Mogadishu,"2,04","45,34"
Equatorial Guinea,Malabo,"3,75","8,78"
Cameroon,Yaoundé,"3,87","11,52"
Central African Republic,Bangui,"4,36","18,55"
Ghana,Accra,"5,56","-0,2"
Togo,Lomé,"6,14","1,21"
Liberia,Monrovia,"6,3","-10,8"
Benin,Porto-Novo,"6,5","2,6"
Ivory Coast,Yamoussoukro,"6,82","-5,28"
Sierra Leone,Freetown,"8,48","-13,23"
Ethiopia,Addis Ababa,"9,02","38,75"
Nigeria,Abuja,"9,07","7,48"
Guinea,Conakry,"9,54","-13,68"
Djibouti,Djibouti,"11,59","43,15"
Guinea-Bissau,Bissau,"11,86","-15,6"
Chad,N'Djamena,"12,11","15,04"
Burkina Faso,Ouagadougou,"12,37","-1,53"
Mali,Bamako,"12,65",-8
Gambia,Banjul,"13,45","-16,58"
Niger,Niamey,"13,51","2,11"
Senegal,Dakar,"14,69","-17,44"
Cape Verde,Praia,"14,93","-23,51"
Eritrea,Asmara,"15,33","38,93"
Sudan,Khartoum,"15,55","32,53"
Mauritania,Nouakchott,"18,09","-15,98"
Western Sahara,El Aaiún,"27,16","-13,2"
Egypt,Cairo,"30,06","31,25"
Libya,Tripoli,"32,88","13,19"
Morocco,Rabat,"34,01","-6,83"
Algeria,Algiers,"36,75","3,04"
Tunisia,Tunis,"36,82","10,17"
