Country,Capital,Latitude,Longitude
New Zealand,Wellington,"-41,29","174,78"
Australia,Canberra,"-35,28","149,13"
Norfolk Island,Kingston,"-29,05","167,97"
Pitcairn,Adamstown,"-25,07","-130,1"
New Caledonia,Noumea,"-22,28","166,46"
Cook Islands,Avarua,"-21,21","-159,78"
Tonga,Nuku'alofa,"-21,13","-175,2"
Niue,Alofi,"-19,06","-169,92"
Fiji,Suva,"-18,14","178,44"
Vanuatu,Port Vila,"-17,73","168,32"
French Polynesia,Papeete,"-17,53","-149,57"
American Samoa,Pago Pago,"-14,28","-170,7"
Samoa,Apia,"-13,83","-171,77"
Wallis and Futuna,Mata-Utu,"-13,28","-176,17"
Papua New Guinea,Port Moresby,"-9,44","147,18"
Solomon Islands,Honiara,"-9,43","159,95"
Tokelau,Nukunonu,"-9,2","-171,85"
East Timor,Dili,"-8,56","125,57"
Tuvalu,Funafuti,"-8,52","179,19"
Nauru,Yaren,"-0,54","166,93"
Kiribati,South Tarawa,"1,33","172,98"
Micronesia,Palikir,"6,92","158,16"
Marshall Islands,Majuro,"7,09","171,38"
Palau,Melekeok,"7,5","134,62"
Guam,Hagåtña,"13,48","144,75"
Northern Mariana Islands,Saipan,"15,21","145,75"
