data;
set CIUDADES := 0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51;
set CIUDADES_SO := 1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51;

param N := 51; 


param C: 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51 :=
0	0.00	1707.76	3480.56	917.10	3767.90	3288.12	1366.38	1960.52	1963.21	1285.42	1464.35	2860.94	1344.30	1206.63	2412.66	1606.85	2035.50	1202.21	1532.60	1882.41	1993.22	2522.54	1370.64	2387.14	1815.74	1970.94	2017.05	2953.25	3274.71	3313.34	2731.89	2260.29	1716.47	2905.98	3221.98	2137.01	2950.76	2492.28	3680.81	2133.45	3599.79	2261.00	2778.98	2313.80	2522.53	2911.51	2773.68	3200.92	2848.57	4083.97	4878.61	4865.91
1	1707.76	0.00	1785.20	851.11	2110.47	1667.86	760.38	689.55	691.29	904.89	835.16	1338.16	946.55	1070.74	1060.81	943.84	912.04	1366.89	1111.53	1110.04	1129.89	1362.56	1715.99	1317.82	1344.45	1380.29	1378.83	1749.73	2002.27	2046.09	1670.34	1579.64	2067.45	1852.16	2090.87	1888.85	1983.91	1852.15	2524.69	2244.62	2504.69	2249.30	2206.83	2817.61	2450.78	2620.90	2723.33	2686.45	2803.25	3262.17	3975.00	4711.35
2	3480.56	1785.20	0.00	2580.02	440.54	497.76	2251.85	1665.66	1663.60	2393.60	2223.94	922.80	2382.63	2557.36	1376.43	2186.72	1742.55	2805.97	2376.36	2081.23	1989.50	1603.73	3064.43	1734.97	2370.64	2271.66	2226.54	1547.66	1476.51	1500.15	1763.41	2221.27	3269.74	1811.58	1760.44	2736.01	1978.06	2342.58	1914.87	3210.85	2005.99	3117.33	2563.38	3886.09	3185.96	3084.90	3377.01	2887.07	3434.46	2881.54	3309.75	4787.53
3	917.10	851.11	2580.02	0.00	2853.55	2371.36	500.68	1052.42	1055.14	488.22	624.50	1946.26	565.09	526.52	1510.86	793.51	1154.94	745.29	806.07	1081.03	1176.18	1662.49	1089.54	1543.38	1126.17	1252.11	1284.58	2097.80	2409.42	2450.12	1908.00	1537.14	1488.85	2091.62	2394.44	1600.23	2166.36	1804.86	2856.40	1796.42	2792.97	1863.89	2139.34	2233.73	2111.93	2410.78	2390.04	2608.02	2471.68	3388.34	4165.35	4495.25
4	3767.90	2110.47	440.54	2853.55	0.00	502.80	2473.28	1862.95	1860.54	2603.75	2424.04	992.97	2580.61	2756.43	1490.39	2357.47	1888.76	2978.41	2533.77	2202.67	2097.98	1629.11	3199.08	1778.98	2471.70	2350.77	2300.32	1453.66	1293.16	1305.28	1712.62	2245.15	3354.79	1714.13	1586.85	2761.58	1864.74	2314.66	1641.19	3236.61	1753.35	3123.10	2480.33	3909.94	3154.23	2991.36	3314.76	2740.91	3363.80	2597.64	2952.34	4542.08
5	3288.12	1667.86	497.76	2371.36	502.80	0.00	1976.27	1363.91	1361.46	2104.28	1923.52	493.57	2079.52	2255.20	988.95	1854.76	1386.07	2475.61	2031.11	1702.61	1599.64	1153.08	2698.87	1296.65	1975.94	1860.04	1810.92	1052.89	984.35	1010.44	1280.28	1774.01	2865.04	1317.52	1264.66	2291.81	1482.33	1871.02	1449.93	2768.14	1529.53	2663.79	2074.88	3443.75	2715.71	2595.18	2896.28	2389.75	2951.29	2412.26	2892.62	4298.32
6	1366.38	760.38	2251.85	500.68	2473.28	1976.27	0.00	613.90	616.45	153.26	131.99	1518.51	186.34	327.15	1050.59	304.96	669.52	618.06	389.88	586.89	676.99	1167.52	958.46	1044.07	689.63	788.72	812.74	1602.38	1917.98	1957.93	1407.42	1060.96	1308.02	1590.94	1894.46	1216.72	1667.57	1336.29	2356.49	1513.17	2292.30	1540.64	1682.34	2060.59	1765.79	2007.48	2044.78	2160.56	2126.50	2901.59	3672.78	4110.91
7	1960.52	689.55	1665.66	1052.42	1862.95	1363.91	613.90	0.00	2.72	740.81	562.62	905.82	720.64	896.50	461.09	526.85	228.22	1140.82	722.97	518.88	490.77	690.48	1417.44	629.77	811.47	785.99	766.92	1106.31	1393.53	1436.24	990.04	924.98	1678.83	1175.18	1436.00	1318.27	1298.87	1185.39	1886.22	1740.74	1849.91	1705.62	1535.11	2379.78	1870.17	1979.35	2128.94	2009.48	2205.40	2577.67	3303.78	4046.72
8	1963.21	691.29	1663.60	1055.14	1860.54	1361.46	616.45	2.72	0.00	743.21	564.91	903.21	722.90	898.77	458.38	528.58	227.09	1142.81	724.59	519.24	490.52	688.18	1419.06	627.84	812.10	786.08	766.83	1103.81	1390.91	1433.63	987.90	924.26	1679.99	1173.00	1433.60	1318.38	1296.85	1184.41	1883.74	1741.24	1847.54	1705.86	1534.01	2380.57	1870.09	1978.65	2128.71	2008.25	2205.13	2575.67	3301.57	4045.66
9	1285.42	904.89	2393.60	488.22	2603.75	2104.28	153.26	740.81	743.21	0.00	185.47	1637.68	77.59	173.92	1157.76	324.05	762.21	466.06	321.21	608.78	713.72	1237.25	811.11	1102.52	640.66	763.91	797.04	1668.04	1989.34	2027.92	1454.08	1049.83	1170.71	1633.04	1944.29	1139.24	1695.11	1316.65	2405.47	1400.27	2332.89	1440.52	1652.30	1925.94	1675.15	1943.15	1954.86	2123.51	2036.81	2902.43	3682.45	4040.34
10	1464.35	835.16	2223.94	624.50	2424.04	1923.52	131.99	562.62	564.91	185.47	0.00	1453.92	158.70	334.07	972.39	173.14	577.18	596.15	280.22	457.54	552.04	1059.31	912.93	929.42	563.54	657.48	680.84	1492.35	1811.48	1850.64	1288.02	928.99	1238.76	1469.96	1776.87	1097.70	1541.88	1204.34	2238.80	1414.81	2171.25	1432.66	1550.80	1984.26	1651.53	1882.00	1929.62	2029.51	2011.10	2770.99	3543.68	3986.29
11	2860.94	1338.16	922.80	1946.26	992.97	493.57	1518.51	905.82	903.21	1637.68	1453.92	0.00	1606.88	1781.34	498.14	1372.69	900.06	1990.47	1543.73	1209.80	1106.13	680.95	2206.21	814.51	1482.52	1368.66	1320.39	708.70	794.58	834.66	866.47	1299.22	2373.38	953.04	1009.60	1815.24	1126.23	1424.76	1334.84	2290.95	1368.51	2194.79	1668.14	2966.73	2265.74	2189.42	2464.45	2036.54	2524.86	2238.78	2831.09	4024.64
12	1344.30	946.55	2382.63	565.09	2580.61	2079.52	186.34	720.64	722.90	77.59	158.70	1606.88	0.00	175.96	1120.70	262.94	720.04	444.01	243.70	541.56	649.67	1181.57	775.17	1043.16	563.07	687.37	721.39	1609.70	1932.65	1970.66	1389.83	974.26	1121.71	1567.14	1880.23	1064.28	1625.42	1239.97	2340.73	1335.65	2265.85	1371.13	1574.89	1874.64	1603.23	1866.83	1882.89	2045.93	1964.81	2827.33	3608.44	3965.07
13	1206.63	1070.74	2557.36	526.52	2756.43	2255.20	327.15	896.50	898.77	173.92	334.07	1781.34	175.96	0.00	1293.03	421.81	890.43	296.17	327.33	679.56	793.38	1336.42	648.76	1192.62	631.13	776.29	818.31	1758.91	2084.04	2121.02	1527.37	1067.88	1022.56	1699.73	2016.76	1074.87	1745.69	1319.52	2474.60	1285.29	2393.32	1342.33	1638.68	1778.88	1587.29	1886.11	1866.06	2097.83	1947.85	2916.50	3704.21	3968.82
14	2412.66	1060.81	1376.43	1510.86	1490.39	988.95	1050.59	461.09	458.38	1157.76	972.39	498.14	1120.70	1293.03	0.00	878.59	404.52	1493.39	1045.97	714.59	615.62	358.46	1710.22	413.49	996.06	896.06	852.46	690.26	948.67	992.19	661.91	884.96	1893.88	825.60	1033.67	1381.79	979.89	1074.07	1464.02	1849.98	1445.93	1772.52	1380.01	2521.34	1879.46	1881.04	2106.28	1815.10	2174.53	2235.79	2922.52	3856.45
15	1606.85	943.84	2186.72	793.51	2357.47	1854.76	304.96	526.85	528.58	324.05	173.14	1372.69	262.94	421.81	878.59	0.00	474.09	622.25	198.53	287.91	389.76	918.94	891.60	780.35	409.74	488.32	509.09	1346.80	1669.74	1707.72	1130.04	756.09	1175.31	1309.35	1620.24	953.31	1375.01	1032.08	2081.44	1303.84	2009.67	1305.68	1379.96	1903.56	1512.97	1723.35	1788.74	1859.80	1869.62	2598.45	3372.43	3827.92
16	2035.50	912.04	1742.55	1154.94	1888.76	1386.07	669.52	228.22	227.09	762.21	577.18	900.06	720.04	890.43	404.52	474.09	0.00	1090.52	645.06	347.62	285.40	514.37	1323.00	423.11	647.20	590.76	563.37	947.44	1254.73	1295.71	793.47	700.68	1541.45	980.75	1260.80	1119.41	1092.19	957.75	1719.02	1559.90	1670.73	1511.28	1306.92	2214.05	1662.35	1754.99	1915.81	1781.45	1991.04	2368.46	3106.43	3818.61
17	1202.21	1366.89	2805.97	745.29	2978.41	2475.61	618.06	1140.82	1142.81	466.06	596.15	1990.47	444.01	296.17	1493.39	622.25	1090.52	0.00	448.73	809.81	926.08	1474.18	357.95	1319.98	644.65	805.94	858.03	1872.86	2199.69	2233.32	1616.23	1082.89	747.56	1773.19	2094.28	946.20	1790.59	1296.30	2540.27	1059.48	2444.66	1143.69	1576.84	1500.24	1400.68	1745.48	1673.42	2006.25	1753.91	2882.42	3677.72	3789.23
18	1532.60	1111.53	2376.36	806.07	2533.77	2031.11	389.88	722.97	724.59	321.21	280.22	1543.73	243.70	327.33	1045.97	198.53	645.06	448.73	0.00	369.02	485.86	1035.76	694.47	885.48	320.14	453.13	492.58	1447.81	1774.46	1810.09	1206.83	743.95	980.42	1376.07	1694.58	828.06	1418.64	1002.92	2150.66	1135.01	2067.28	1153.35	1333.37	1715.73	1375.99	1625.59	1654.92	1802.77	1736.63	2596.19	3381.36	3726.25
19	1882.41	1110.04	2081.23	1081.03	2202.67	1702.61	586.89	518.88	519.24	608.78	457.54	1209.80	541.56	679.56	714.59	287.91	347.62	809.81	369.02	0.00	116.91	666.89	996.41	516.72	300.06	274.25	268.80	1080.86	1406.99	1443.21	849.50	490.41	1194.73	1025.64	1339.75	803.02	1087.27	769.89	1799.60	1222.94	1724.46	1187.49	1124.32	1869.72	1360.46	1511.42	1625.64	1607.25	1703.96	2315.13	3086.19	3607.89
20	1993.22	1129.89	1989.50	1176.18	2097.98	1599.64	676.99	490.77	490.52	713.72	552.04	1106.13	649.67	793.38	615.62	389.76	285.40	926.08	485.86	116.91	0.00	549.99	1102.61	400.44	381.14	305.68	278.65	965.71	1291.42	1327.97	740.46	449.78	1280.58	919.70	1230.80	834.35	990.58	724.63	1691.78	1276.10	1620.39	1225.90	1080.52	1934.43	1380.78	1497.07	1638.21	1562.71	1714.63	2234.71	2999.02	3581.48
21	2522.54	1362.56	1603.73	1662.49	1629.11	1153.08	1167.52	690.48	688.18	1237.25	1059.31	680.95	1181.57	1336.42	358.46	918.94	514.37	1474.18	1035.76	666.89	549.99	0.00	1620.98	158.43	877.51	737.47	683.92	435.31	752.25	791.33	311.83	621.12	1731.59	489.73	748.49	1138.82	630.82	753.32	1204.94	1615.16	1160.97	1514.56	1034.36	2290.90	1587.62	1545.28	1795.62	1458.75	1859.51	1902.59	2615.18	3498.39
22	1370.64	1715.99	3064.43	1089.54	3199.08	2698.87	958.46	1417.44	1419.06	811.11	912.93	2206.21	775.17	648.76	1710.22	891.60	1323.00	357.95	694.47	996.41	1102.61	1620.98	0.00	1462.55	743.47	890.51	945.75	1977.77	2298.16	2327.03	1700.82	1115.85	401.84	1833.57	2149.56	810.39	1816.38	1265.33	2571.35	772.39	2460.27	890.89	1481.65	1145.65	1152.75	1544.85	1409.88	1858.96	1487.03	2787.36	3582.49	3519.43
23	2387.14	1317.82	1734.97	1543.38	1778.98	1296.65	1044.07	629.77	627.84	1102.52	929.42	814.51	1043.16	1192.62	413.49	780.35	423.11	1319.98	885.48	516.72	400.44	158.43	1462.55	0.00	719.08	579.98	526.88	566.76	891.43	928.51	372.00	487.55	1577.65	559.33	851.46	1001.11	670.37	660.60	1313.19	1476.51	1255.41	1383.96	973.72	2152.24	1473.97	1468.67	1694.91	1423.82	1762.26	1948.56	2683.32	3469.58
24	1815.74	1344.45	2370.64	1126.17	2471.70	1975.94	689.63	811.47	812.10	640.66	563.54	1482.52	563.07	631.13	996.06	409.74	647.20	644.65	320.14	300.06	381.14	877.51	743.47	719.08	0.00	161.37	214.51	1245.49	1570.16	1601.67	978.46	444.72	899.65	1129.93	1450.95	545.13	1146.96	688.39	1895.62	931.04	1800.94	910.72	1013.57	1570.60	1106.57	1318.48	1380.71	1482.86	1461.28	2285.65	3074.61	3422.76
25	1970.94	1380.29	2271.66	1252.11	2350.77	1860.04	788.72	785.99	786.08	763.91	657.48	1368.66	687.37	776.29	896.06	488.32	590.76	805.94	453.13	274.25	305.68	737.47	890.51	579.98	161.37	0.00	55.33	1089.80	1413.13	1443.91	819.30	291.59	1005.00	968.76	1289.73	532.31	986.65	552.79	1734.36	970.92	1640.42	921.61	893.85	1632.73	1086.86	1246.09	1351.39	1372.05	1429.73	2143.09	2928.58	3347.95
26	2017.05	1378.83	2226.54	1284.58	2300.32	1810.92	812.74	766.92	766.83	797.04	680.84	1320.39	721.39	818.31	852.46	509.09	563.37	858.03	492.58	268.80	278.65	683.92	945.75	526.88	214.51	55.33	0.00	1034.52	1357.99	1388.88	764.59	252.88	1054.61	915.60	1236.66	556.07	937.13	523.70	1682.80	1005.67	1590.39	948.48	871.15	1671.59	1103.26	1242.75	1363.52	1352.02	1440.87	2106.16	2889.36	3340.84
27	2953.25	1749.73	1547.66	2097.80	1453.66	1052.89	1602.38	1106.31	1103.81	1668.04	1492.35	708.70	1609.70	1758.91	690.26	1346.80	947.44	1872.86	1447.81	1080.86	965.71	435.31	1977.77	566.76	1245.49	1089.80	1034.52	0.00	327.01	362.36	287.48	882.99	2025.86	264.89	344.82	1368.37	430.91	879.28	780.28	1829.09	755.67	1698.39	1028.89	2489.69	1705.73	1545.66	1861.25	1343.78	1911.36	1570.60	2234.11	3315.94
28	3274.71	2002.27	1476.51	2409.42	1293.16	984.35	1917.98	1393.53	1390.91	1989.34	1811.48	794.58	1932.65	2084.04	948.67	1669.74	1254.73	2199.69	1774.46	1406.99	1291.42	752.25	2298.16	891.43	1570.16	1413.13	1357.99	327.01	0.00	43.85	597.74	1192.66	2328.15	496.76	293.71	1656.33	605.69	1148.56	543.82	2102.93	575.99	1961.58	1226.12	2748.94	1937.93	1717.66	2061.56	1447.96	2102.52	1456.10	2039.72	3314.04
29	3313.34	2046.09	1500.15	2450.12	1305.28	1010.44	1957.93	1436.24	1433.63	2027.92	1850.64	834.66	1970.66	2121.02	992.19	1707.72	1295.71	2233.32	1810.09	1443.21	1327.97	791.33	2327.03	928.51	1601.67	1443.91	1388.88	362.36	43.85	0.00	626.24	1218.62	2350.78	514.98	284.95	1675.99	613.44	1165.59	501.84	2118.90	538.84	1975.54	1230.64	2761.31	1946.14	1716.62	2064.19	1438.16	2103.63	1421.24	1998.19	3288.29
30	2731.89	1670.34	1763.41	1908.00	1712.62	1280.28	1407.42	990.04	987.90	1454.08	1288.02	866.47	1389.83	1527.37	661.91	1130.04	793.47	1616.23	1206.83	849.50	740.46	311.83	1700.82	372.00	978.46	819.30	764.59	287.48	597.74	626.24	0.00	597.12	1738.78	187.40	490.41	1082.00	319.28	603.15	951.43	1545.69	885.69	1419.21	802.85	2210.23	1442.12	1324.81	1616.02	1183.65	1671.68	1592.36	2314.76	3208.98
31	2260.29	1579.64	2221.27	1537.14	2245.15	1774.01	1060.96	924.98	924.26	1049.83	928.99	1299.22	974.26	1067.88	884.96	756.09	700.68	1082.89	743.95	490.41	449.78	621.12	1115.85	487.55	444.72	291.59	252.88	882.99	1192.66	1218.62	597.12	0.00	1144.01	717.92	1034.05	517.82	710.48	279.48	1464.99	994.14	1363.64	896.52	634.50	1669.80	995.31	1054.49	1231.19	1117.56	1303.16	1853.35	2637.41	3131.82
32	1716.47	2067.45	3269.74	1488.85	3354.79	2865.04	1308.02	1678.83	1679.99	1170.71	1238.76	2373.38	1121.71	1022.56	1893.88	1175.31	1541.45	747.56	980.42	1194.73	1280.58	1731.59	401.84	1577.65	899.65	1005.00	1054.61	2025.86	2328.15	2350.78	1738.78	1144.01	0.00	1838.00	2135.62	689.79	1782.87	1205.24	2517.98	433.56	2392.40	589.97	1329.23	756.37	837.04	1266.05	1065.63	1628.43	1137.33	2590.84	3374.98	3150.50
33	2905.98	1852.16	1811.58	2091.62	1714.13	1317.52	1590.94	1175.18	1173.00	1633.04	1469.96	953.04	1567.14	1699.73	825.60	1309.35	980.75	1773.19	1376.07	1025.64	919.70	489.73	1833.57	559.33	1129.93	968.76	915.60	264.89	496.76	514.98	187.40	717.92	1838.00	0.00	321.09	1161.04	173.27	651.83	774.88	1606.38	701.40	1466.69	766.27	2255.81	1455.83	1281.24	1601.29	1085.54	1649.66	1413.96	2128.72	3081.24
